collection_name	dataset_id	n_cells	n_donors	n_cell_types	assays	tissues	diseases	sexes	age_terms	suspension_types	collection_id	dataset_total_cell_count	dataset_h5ad_path
Human Brain Cell Atlas v1.0	421e5f54-5de7-425f-b399-34ead0651ce1	34949	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (12502), 42-year-old stage (12191), 50-year-old stage (10256)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	34949	421e5f54-5de7-425f-b399-34ead0651ce1.h5ad
Human Brain Cell Atlas v1.0	d582f63a-3c88-4e38-8cd3-8682dbe40f64	34919	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (10759), 42-year-old stage (12332), 50-year-old stage (11828)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	34919	d582f63a-3c88-4e38-8cd3-8682dbe40f64.h5ad
Early role for a Na+,K+-ATPase (ATP1A3) in brain development	39ed7d98-676d-4b8d-9d0a-0f3b60914ead	34433	1	4	Drop-seq	anterior cingulate cortex, orbitofrontal cortex, primary visual cortex	normal	unknown	prenatal-prenatal, 22nd week post-fertilization stage (34433)	cell	e02201d7-f49f-401f-baf0-1eb1406546c0	118647	39ed7d98-676d-4b8d-9d0a-0f3b60914ead.h5ad
Human Brain Cell Atlas v1.0	a84face4-eb30-4f43-994f-c6a13a097808	34078	3	9	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (10725), 42-year-old stage (11882), 50-year-old stage (11471)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	34078	a84face4-eb30-4f43-994f-c6a13a097808.h5ad
Human Brain Cell Atlas v1.0	9372df2d-13d6-4fac-980b-919a5b7eb483	33794	2	11	10x 3' v3	midbrain	normal	male	42yo-50yo, 42-year-old stage (14274), 50-year-old stage (19520)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	33794	9372df2d-13d6-4fac-980b-919a5b7eb483.h5ad
Human Brain Cell Atlas v1.0	46ff9dc2-3d87-4b36-91aa-ffa8aa13c52e	32745	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (10695), 42-year-old stage (9694), 50-year-old stage (12356)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	32745	46ff9dc2-3d87-4b36-91aa-ffa8aa13c52e.h5ad
Human Brain Cell Atlas v1.0	ed33c203-233a-476a-a56b-28da945fdd32	32638	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (9999), 42-year-old stage (11133), 50-year-old stage (11506)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	32638	ed33c203-233a-476a-a56b-28da945fdd32.h5ad
Human Brain Cell Atlas v1.0	5e5ab909-f73f-4b57-98a0-6d2c5662f6a4	32306	3	13	10x 3' v3	midbrain	normal	male	29yo-50yo, 29-year-old stage (10841), 42-year-old stage (11580), 50-year-old stage (9885)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	32306	5e5ab909-f73f-4b57-98a0-6d2c5662f6a4.h5ad
Human Brain Cell Atlas v1.0	3f31f8ce-bbf6-4df8-8203-aa240ed03026	32157	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (6698), 42-year-old stage (8934), 50-year-old stage (16525)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	32157	3f31f8ce-bbf6-4df8-8203-aa240ed03026.h5ad
HVS: Human variation study	34229bdc-a895-4394-8820-574e4028d8c6	31924	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (31924)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	31924	34229bdc-a895-4394-8820-574e4028d8c6.h5ad
Human Brain Cell Atlas v1.0	f8dda921-5fb4-4c94-a654-c6fc346bfd6d	31899	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (12601), 42-year-old stage (9591), 50-year-old stage (9707)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	31899	f8dda921-5fb4-4c94-a654-c6fc346bfd6d.h5ad
Human Brain Cell Atlas v1.0	f502c312-05dc-4fd4-a762-92a63e92b539	31230	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (13387), 42-year-old stage (9170), 50-year-old stage (8673)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	31230	f502c312-05dc-4fd4-a762-92a63e92b539.h5ad
Multi-omic profiling of the developing human cerebral cortex at the single cell level	53ce2631-3646-4172-bbd9-38b0a44d8214	31213	8	13	10x multiome	dorsolateral prefrontal cortex	normal	male & female	neonatal-39yo, infant stage (6406), 4-year-old stage (5418), 6-year-old stage (3693), 14-year-old stage (8300), 20-year-old stage (1541), 39-year-old stage (5855)	nucleus	ceb895f4-ff9f-403a-b7c3-187a9657ac2c	45549	53ce2631-3646-4172-bbd9-38b0a44d8214.h5ad
Human Brain Cell Atlas v1.0	db1d2c1b-2ee1-45d5-9d53-69a327cd77e6	31065	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (11473), 42-year-old stage (10678), 50-year-old stage (8914)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	31065	db1d2c1b-2ee1-45d5-9d53-69a327cd77e6.h5ad
Integrated adult and foetal heart single-cell RNA sequencing	5500c673-1610-40a0-86d9-64d987ae50e6	30889	7	17	10x 3' v2, 10x 3' v3	apex of heart, basal zone of heart	normal	male & female	prenatal-prenatal, 10th week post-fertilization stage (8332), embryonic stage (22557)	cell	43b45a20-a969-49ac-a8e8-8c84b211bd01	60668	5500c673-1610-40a0-86d9-64d987ae50e6.h5ad
Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis	4dd00779-7f73-4f50-89bb-e2d3c6b71b18	30476	11	23	10x 3' v1, 10x 3' v2	colonic epithelium, mucosa of transverse colon	normal	male & female	18yo-18yo, adult stage (30476)	cell	33d19f34-87f5-455b-8ca5-9023a2e5453d	34772	4dd00779-7f73-4f50-89bb-e2d3c6b71b18.h5ad
HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps	d6dfdef1-406d-4efb-808c-3c5eddbfe0cb	30274	17	9	TruDrop	ascending colon, descending colon, sigmoid colon, transverse colon	normal	male & female	46yo-74yo, 46-year-old stage (6187), 51-year-old stage (1083), 52-year-old stage (2578), 56-year-old stage (1917), 57-year-old stage (2317), 58-year-old stage (2287), 63-year-old stage (2546), 64-year-old stage (1689), 66-year-old stage (2999), 67-year-old stage (913), 70-year-old stage (2133), 71-year-old stage (1176), 72-year-old stage (1370), 74-year-old stage (1079)	cell	a48f5033-3438-4550-8574-cdff3263fdfd	57723	d6dfdef1-406d-4efb-808c-3c5eddbfe0cb.h5ad
Human Brain Cell Atlas v1.0	a4116666-d295-4443-a174-0acc283f92c4	29907	3	12	10x 3' v3	midbrain	normal	male	29yo-50yo, 29-year-old stage (11378), 42-year-old stage (14203), 50-year-old stage (4326)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	29907	a4116666-d295-4443-a174-0acc283f92c4.h5ad
Human Brain Cell Atlas v1.0	fa554686-fc07-44dd-b2de-b726d82d26ec	29674	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (10316), 42-year-old stage (8222), 50-year-old stage (11136)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	29674	fa554686-fc07-44dd-b2de-b726d82d26ec.h5ad
Human Brain Cell Atlas v1.0	1cf24082-59de-4029-ac81-6e398768af3a	29522	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (12617), 42-year-old stage (9887), 50-year-old stage (7018)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	29522	1cf24082-59de-4029-ac81-6e398768af3a.h5ad
HVS: Human variation study	3079e9b0-c6db-45c8-b998-a4555a73968e	28943	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (28943)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	28943	3079e9b0-c6db-45c8-b998-a4555a73968e.h5ad
HVS: Human variation study	93091496-be48-4122-b945-9af9c22a7535	28718	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (28718)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	28718	93091496-be48-4122-b945-9af9c22a7535.h5ad
HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps	e40c6272-af77-4a10-9385-62a398884f27	28165	21	9	TruDrop	ascending colon, descending colon, hepatic flexure of colon, rectum, sigmoid colon, transverse colon	normal	male & female	50yo-73yo, 50-year-old stage (12934), 54-year-old stage (1943), 57-year-old stage (740), 59-year-old stage (1573), 62-year-old stage (1376), 64-year-old stage (2934), 65-year-old stage (615), 67-year-old stage (657), 68-year-old stage (549), 70-year-old stage (2084), 72-year-old stage (1180), 73-year-old stage (1580)	cell	a48f5033-3438-4550-8574-cdff3263fdfd	65088	e40c6272-af77-4a10-9385-62a398884f27.h5ad
Human Brain Cell Atlas v1.0	5bc23cb2-8cfc-4960-bab1-c3027fbeefc4	28155	3	13	10x 3' v3	hypothalamus	normal	male	29yo-50yo, 29-year-old stage (11214), 42-year-old stage (6577), 50-year-old stage (10364)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	28155	5bc23cb2-8cfc-4960-bab1-c3027fbeefc4.h5ad
Human Brain Cell Atlas v1.0	ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded	28051	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (12557), 42-year-old stage (9766), 50-year-old stage (5728)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	28051	ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded.h5ad
Human Brain Cell Atlas v1.0	a59ba9fa-1407-4f15-8c56-d3637421570d	28028	3	11	10x 3' v3	cerebellum	normal	male	29yo-50yo, 29-year-old stage (8237), 42-year-old stage (11883), 50-year-old stage (7908)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	28028	a59ba9fa-1407-4f15-8c56-d3637421570d.h5ad
Healthy living donor kidney	0bae7ebf-eb54-46a6-be9a-3461cecefa4c	27675	19	18	10x 3' v3	cortex of kidney	normal	male & female	33yo-65yo, 33-year-old stage (1264), 34-year-old stage (344), 35-year-old stage (2262), 37-year-old stage (315), 38-year-old stage (1102), 41-year-old stage (712), 42-year-old stage (1041), 43-year-old stage (679), 44-year-old stage (1811), 49-year-old stage (584), 50-year-old stage (606), 55-year-old stage (938), 57-year-old stage (2366), 58-year-old stage (3739), 60-year-old stage (1894), 64-year-old stage (3280), 65-year-old stage (4738)	cell	dc3a5256-5c39-4a21-ac0c-4ede3e7b2323	27675	0bae7ebf-eb54-46a6-be9a-3461cecefa4c.h5ad
An atlas of healthy and injured cell states and niches in the human kidney	0b75c598-0893-4216-afe8-5414cab7739d	27491	7	26	10x 3' v3	cortex of kidney, renal medulla	acute kidney failure, chronic kidney disease	male & female	36yo-70yo, 36-year-old stage (2891), 43-year-old stage (8609), 49-year-old stage (3190), 56-year-old stage (3056), 64-year-old stage (1661), 70-year-old stage (8084)	nucleus	bcb61471-2a44-4d00-a0af-ff085512674c	304652	0b75c598-0893-4216-afe8-5414cab7739d.h5ad
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon	6cf3634d-e911-44ad-bf52-c747a9af3c01	27405	20	7	10x 3' v2, 10x 3' v3	ascending colon, colon, colonic epithelium, descending colon, lamina propria of mucosa of colon	normal	male & female	20yo-70yo, third decade stage (10367), fourth decade stage (4167), fifth decade stage (100), sixth decade stage (9383), seventh decade stage (2270), eighth decade stage (1118)	cell	5c868b6f-62c5-4532-9d7f-a346ad4b50a7	39433	6cf3634d-e911-44ad-bf52-c747a9af3c01.h5ad
Dissecting novel myeloid-derived cell states through single-cell RNA-Seq and its impact on clinical outcome across tumor types	b617ee1b-f8c8-4de9-b82b-e803ab93550d	27269	13	10	10x 3' v2	colorectum, lung	normal	male & female	50yo-80yo, sixth decade stage (4053), seventh decade stage (18738), eighth decade stage (52), ninth decade stage (4426)	cell	3f7c572c-cd73-4b51-a313-207c7f20f188	391963	b617ee1b-f8c8-4de9-b82b-e803ab93550d.h5ad
Spatiotemporal immune zonation of the human kidney	d7dcfd8f-2ee7-4385-b9ac-e074c23ed190	27197	6	24	10x 3' v2	kidney	normal	male & female	prenatal-prenatal, 9th week post-fertilization stage (1542), 10th week post-fertilization stage (3280), 12th week post-fertilization stage (4709), 13th week post-fertilization stage (5998), 16th week post-fertilization stage (5618), embryonic stage (6050)	cell	120e86b4-1195-48c5-845b-b98054105eec	27197	d7dcfd8f-2ee7-4385-b9ac-e074c23ed190.h5ad
Transcriptomic cytoarchitecture reveals principles of human neocortex organization	a5d5c529-8a1f-40b5-bda3-35208970070d	26983	3	19	Smart-seq v4	primary auditory cortex, primary motor cortex, primary somatosensory cortex, primary visual cortex	normal	male & female	43yo-54yo, 43-year-old stage (9284), 50-year-old stage (8286), 54-year-old stage (9413)	nucleus	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	49417	a5d5c529-8a1f-40b5-bda3-35208970070d.h5ad
A transcriptional cross species map of pancreatic islet cells	3294d050-6eeb-4a00-b24c-71aacc9b777f	26474	5	4	10x 3' v2	islet of Langerhans	normal	male & female	22yo-74yo, 22-year-old stage (3913), 24-year-old stage (4462), 61-year-old stage (5200), 63-year-old stage (4749), 74-year-old stage (8150)	cell	0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e	26474	3294d050-6eeb-4a00-b24c-71aacc9b777f.h5ad
Human Brain Cell Atlas v1.0	d6a5b240-cc8f-45c1-ad36-2fc291e15e8e	25875	2	11	10x 3' v3	midbrain	normal	male	29yo-42yo, 29-year-old stage (12506), 42-year-old stage (13369)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	25875	d6a5b240-cc8f-45c1-ad36-2fc291e15e8e.h5ad
Early role for a Na+,K+-ATPase (ATP1A3) in brain development	82f6af6d-5313-439a-9936-5e844be49a70	25083	1	3	Drop-seq	prefrontal cortex, primary visual cortex	normal	unknown	7mo-7mo, 7-month-old stage (25083)	nucleus	e02201d7-f49f-401f-baf0-1eb1406546c0	51878	82f6af6d-5313-439a-9936-5e844be49a70.h5ad
Human Brain Cell Atlas v1.0	4d43082e-59cd-43ac-b77d-54d55519c881	24808	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (1513), 42-year-old stage (11032), 50-year-old stage (12263)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	24808	4d43082e-59cd-43ac-b77d-54d55519c881.h5ad
Human Brain Cell Atlas v1.0	090da8ea-46e8-40df-bffc-1f78e1538d27	24190	1	13	10x 3' v3	spinal cord	normal	male	50yo-50yo, 50-year-old stage (24190)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	24190	090da8ea-46e8-40df-bffc-1f78e1538d27.h5ad
Human Brain Cell Atlas v1.0	dd03ce70-3243-4c96-9561-330cc461e4d7	23732	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (846), 42-year-old stage (12038), 50-year-old stage (10848)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	23732	dd03ce70-3243-4c96-9561-330cc461e4d7.h5ad
Single-soma transcriptomics of tangle-bearing neurons in Alzheimer’s disease	9813a1d4-d107-459e-9b2e-7687be935f69	23197	16	1	10x 3' v2, 10x 3' v3	prefrontal cortex	Alzheimer disease, normal	male & female	57yo-89yo, 57-year-old stage (1608), 61-year-old stage (2429), 62-year-old stage (2183), 66-year-old stage (1899), 67-year-old stage (1769), 68-year-old stage (960), 71-year-old stage (1254), 72-year-old stage (2097), 73-year-old stage (1440), 79-year-old stage (2172), 80 year-old and over stage (1061), 81-year-old stage (2564), 87-year-old stage (1056), 89-year-old stage (705)	cell	b953c942-f5d8-434f-9da7-e726ba7c1481	23197	9813a1d4-d107-459e-9b2e-7687be935f69.h5ad
Local and systemic responses to SARS-CoV-2 infection in children and adults	edc8d3fe-153c-4e3d-8be0-2108d30f8d70	22129	17	38	10x 5' v1	bronchus, trachea	normal	male & female	neonatal-5yo, newborn stage (0-28 days) (151), postnatal stage (704), child stage (1-4 yo) (11272), pediatric stage (3830), juvenile stage (5-14 yo) (6172)	cell	03f821b4-87be-4ff4-b65a-b5fc00061da7	236977	edc8d3fe-153c-4e3d-8be0-2108d30f8d70.h5ad
Organoid modeling of human fetal lung alveolar development reveals mechanisms of cell fate patterning and neonatal respiratory disease	43a1506b-aa9e-46a3-b288-d210f4595ddf	20475	15	8	10x 5' v1	lung epithelium	normal	unknown	prenatal-prenatal, sixth LMP month stage (20475)	cell	2d42fb2f-e635-466e-a2f4-9ea34f2e0feb	20475	43a1506b-aa9e-46a3-b288-d210f4595ddf.h5ad
Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression	e067e5ca-e53e-485f-aa8e-efd5435229c8	20215	6	13	10x 3' v3, 10x 5' v1	cortex of kidney	normal, type 2 diabetes mellitus	male & female	51yo-78yo, 51-year-old stage (884), 52-year-old stage (2996), 57-year-old stage (2587), 59-year-old stage (8706), 74-year-old stage (2468), 78-year-old stage (2574)	nucleus	b3e2c6e3-9b05-4da9-8f42-da38a664b45b	39176	e067e5ca-e53e-485f-aa8e-efd5435229c8.h5ad
Human Brain Cell Atlas v1.0	03d38670-1444-4001-bc53-9936e61d9b20	20027	2	11	10x 3' v3	hypothalamus	normal	male	29yo-42yo, 29-year-old stage (11482), 42-year-old stage (8545)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	20027	03d38670-1444-4001-bc53-9936e61d9b20.h5ad
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney	9df60c57-fdf3-4e93-828e-fe9303f20438	19985	5	13	10x 5' v1	cortex of kidney	normal	male & female	50yo-62yo, 50-year-old stage (3683), 52-year-old stage (3804), 54-year-old stage (4114), 61-year-old stage (5464), 62-year-old stage (2920)	nucleus	9b02383a-9358-4f0f-9795-a891ec523bcc	19985	9df60c57-fdf3-4e93-828e-fe9303f20438.h5ad
Spatial multi-omic map of human myocardial infarction	f15e263b-6544-46cb-a46e-e33ab7ce8347	19722	3	9	10x 3' v3	heart left ventricle	myocardial infarction	male	29yo-61yo, 29-year-old stage (6807), 46-year-old stage (3726), 61-year-old stage (9189)	nucleus	8191c283-0816-424b-9b61-c3e1d6258a77	19722	f15e263b-6544-46cb-a46e-e33ab7ce8347.h5ad
HVS: Human variation study	4e374783-0152-423e-bcb6-b87cc232f64d	19711	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (19711)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	19711	4e374783-0152-423e-bcb6-b87cc232f64d.h5ad
Epithelial zonation along the mammalian small intestine defines five discrete metabolic domains	b6ee0939-b5b9-4e03-9d69-96fb6bf5d434	19200	1	10	10x 3' v3	small intestine	normal	male	30yo-30yo, 30-year-old stage (19200)	cell	3db5617e-9f12-4eb4-8416-94893a0d7c46	19200	b6ee0939-b5b9-4e03-9d69-96fb6bf5d434.h5ad
Human Brain Cell Atlas v1.0	f20f44ef-a0d4-4d94-87de-037fd47141f0	18728	1	11	10x 3' v3	hypothalamus	normal	male	42yo-42yo, 42-year-old stage (18728)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	18728	f20f44ef-a0d4-4d94-87de-037fd47141f0.h5ad
Transcriptomic cytoarchitecture reveals principles of human neocortex organization	716a4acc-919e-4326-9672-ebe06ede84e6	18400	3	18	10x 3' v3	dorsolateral prefrontal cortex	normal	male & female	43yo-60yo, 43-year-old stage (5591), 50-year-old stage (7416), 60-year-old stage (5393)	nucleus	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	113339	716a4acc-919e-4326-9672-ebe06ede84e6.h5ad
Emphysema Cell Atlas	4b6af54a-4a21-46e0-bc8d-673c0561a836	18386	6	9	10x 3' v3	alveolus of lung	normal, pulmonary emphysema	male & female	60yo-73yo, 60-year-old stage (3262), 61-year-old stage (1656), 63-year-old stage (6182), 65-year-old stage (3651), 73-year-old stage (3635)	cell	03cdc7f4-bd08-49d0-a395-4487c0e5a168	18386	4b6af54a-4a21-46e0-bc8d-673c0561a836.h5ad
Single-cell transcriptomics reveals gene expression dynamics of human fetal kidney development	8dc29642-be06-46dc-a289-8075915745d4	17962	5	10	10x 3' v2	kidney	normal	male & female	prenatal-prenatal, Carnegie stage 19 (87), 9th week post-fertilization stage (4863), 11th week post-fertilization stage (3395), 14th week post-fertilization stage (6603), 16th week post-fertilization stage (3014)	cell	981b0c87-76d0-4edf-b201-58c52b5cd2f0	17962	8dc29642-be06-46dc-a289-8075915745d4.h5ad
Progressive plasticity during colorectal cancer metastasis	829a3cd1-a466-49f1-b2e9-d3f6b7f392e2	17880	18	9	10x 3' v3	descending colon, hepatic flexure of colon, rectum, sigmoid colon, transverse colon	normal	male & female	35yo-78yo, 35-year-old stage (55), 37-year-old stage (20), 39-year-old stage (215), 44-year-old stage (203), 45-year-old stage (671), 49-year-old stage (1207), 50-year-old stage (3014), 52-year-old stage (61), 55-year-old stage (391), 64-year-old stage (770), 65-year-old stage (832), 68-year-old stage (6280), 73-year-old stage (1099), 74-year-old stage (1516), 78-year-old stage (1546)	cell	1cbfb478-2c7f-4d15-b522-9f74e9fe52a8	47107	829a3cd1-a466-49f1-b2e9-d3f6b7f392e2.h5ad
Human Brain Cell Atlas v1.0	8039c63d-08b0-4fc9-af0f-5b57f08ca0da	17535	1	10	10x 3' v3	cerebral cortex	normal	male	50yo-50yo, 50-year-old stage (17535)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	17535	8039c63d-08b0-4fc9-af0f-5b57f08ca0da.h5ad
Distinct microbial and immune niches of the human colon	2872f4b0-b171-46e2-abc6-befcf6de6306	17214	5	20	10x 3' v2, 10x 5' v2	sigmoid colon, transverse colon	normal	male & female	40yo-60yo, fifth decade stage (3776), sixth decade stage (5348), seventh decade stage (8090)	cell	7681c7d7-0168-4892-a547-6f02a6430ace	41650	2872f4b0-b171-46e2-abc6-befcf6de6306.h5ad
Human Brain Cell Atlas v1.0	35c8a04c-8639-4d15-8228-765d8d93fc96	16753	2	9	10x 3' v3	hypothalamus	normal	male	29yo-42yo, 29-year-old stage (7265), 42-year-old stage (9488)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	16753	35c8a04c-8639-4d15-8228-765d8d93fc96.h5ad
HVS: Human variation study	1a974af7-8b4b-4abb-8aba-23e2979d9518	16668	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (16668)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	16668	1a974af7-8b4b-4abb-8aba-23e2979d9518.h5ad
Protracted Neuronal Recruitment in the Temporal Lobe of Young Children	72822932-10f6-466f-baf3-a2c1d89364bc	16416	12	9	10x 3' v3	entorhinal cortex	normal	male & female	prenatal-79yo, 21st week post-fertilization stage (3054), newborn stage (0-28 days) (2630), 1-month-old stage (1836), 2-month-old stage (2279), 2-year-old stage (1117), 3-year-old stage (565), 13-year-old stage (1046), 27-year-old stage (236), 50-year-old stage (788), 51-year-old stage (1402), 79-year-old stage (1463)	nucleus	cae8bad0-39e9-4771-85a7-822b0e06de9f	20470	72822932-10f6-466f-baf3-a2c1d89364bc.h5ad
HVS: Human variation study	ea95cdd5-cf7e-4d5d-a0bd-032776d32ae5	16319	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (16319)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	16319	ea95cdd5-cf7e-4d5d-a0bd-032776d32ae5.h5ad
Live Human Microglia Single-cell RNA-seq	a1b9c51e-a408-4f7f-bccb-abefe20ae2a5	16245	17	6	10x 3' v2	dorsolateral prefrontal cortex, temporal cortex	Alzheimer disease, temporal lobe epilepsy	male & female	18yo-18yo, adult stage (16245)	cell	fcb3d1c1-03d2-41ac-8229-458e072b7a1c	16245	a1b9c51e-a408-4f7f-bccb-abefe20ae2a5.h5ad
Blood and immune development in human fetal bone marrow and Down syndrome	471647b3-04fe-4c76-8372-3264feb950e8	16099	3	12	10x 3' v3	liver	normal	unknown	prenatal-prenatal, fourth LMP month stage (1352), fifth LMP month stage (14747)	cell	793fdaec-5067-428a-a9db-ecefe135c945	27998	471647b3-04fe-4c76-8372-3264feb950e8.h5ad
Cystic Fibrosis and healthy control biopsy	1ab4ebbc-18d6-4838-89c2-cdc5b10accfb	15855	3	29	10x 3' v3	carina of trachea	cystic fibrosis	male & female	18yo-18yo, adult stage (15855)	cell	54004c5c-af08-4693-a606-73871b6ef989	96479	1ab4ebbc-18d6-4838-89c2-cdc5b10accfb.h5ad
Single-nucleus transcriptome analysis reveals cell-type-specific molecular signatures across reward circuitry in the human brain	a24ce10f-5a87-4e1f-a34a-f4fe5fc84052	15669	5	10	10x 3' v3	anterior cingulate cortex	normal	male & female	51yo-68yo, 51-year-old stage (3880), 52-year-old stage (3959), 54-year-old stage (3174), 59-year-old stage (851), 68-year-old stage (3805)	nucleus	22ccff12-9a18-4b01-ba10-302df57a01f8	15669	a24ce10f-5a87-4e1f-a34a-f4fe5fc84052.h5ad
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	43560d7c-acd6-4ede-830d-c9ffc6cd0862	15216	23	9	10x 3' v2, 10x 5' v1	caudate lobe of liver	normal	male & female	18yo-20yo, late adult stage (1877), prime adult stage (7161), young adult stage (6178)	cell	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	16665	43560d7c-acd6-4ede-830d-c9ffc6cd0862.h5ad
Single-nucleus transcriptome analysis reveals cell-type-specific molecular signatures across reward circuitry in the human brain	f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4	15177	5	13	10x 3' v3	amygdala	normal	male & female	51yo-68yo, 51-year-old stage (3259), 52-year-old stage (2635), 54-year-old stage (3294), 59-year-old stage (2465), 68-year-old stage (3524)	nucleus	22ccff12-9a18-4b01-ba10-302df57a01f8	15177	f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4.h5ad
Human Brain Cell Atlas v1.0	64767efb-49b0-4562-a1bd-e619a5d9db41	14979	1	10	10x 3' v3	hypothalamus	normal	male	50yo-50yo, 50-year-old stage (14979)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	14979	64767efb-49b0-4562-a1bd-e619a5d9db41.h5ad
Human Brain Cell Atlas v1.0	c7856243-c59a-4b70-8ce7-25b94c2d9da1	14352	1	10	10x 3' v3	cerebral cortex	normal	male	50yo-50yo, 50-year-old stage (14352)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	14352	c7856243-c59a-4b70-8ce7-25b94c2d9da1.h5ad
Human Brain Cell Atlas v1.0	c5cfa2b7-abb1-4a50-908f-707b54ca606b	14094	2	11	10x 3' v3	midbrain	normal	male	29yo-50yo, 29-year-old stage (8290), 50-year-old stage (5804)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	14094	c5cfa2b7-abb1-4a50-908f-707b54ca606b.h5ad
Human Brain Cell Atlas v1.0	40569510-2282-461b-84df-6218ef208e0e	13173	1	10	10x 3' v3	hypothalamus	normal	male	50yo-50yo, 50-year-old stage (13173)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	13173	40569510-2282-461b-84df-6218ef208e0e.h5ad
